,0,1
0,"Jharkhand mein bhi hua!Shame on such RSS gundasKya (A) Ache Din haiaint amt ol set we eR Te B aeT fab Aer He eh ESIt started with Muslims..Now even Christian nuns cannot pass by UP on train..Very soon some sections from the Hindus will be identifies as enemies.. Fascism will always create new enemies.. Nuns Accused Of Conversion, Forced Off Train.Acche din in UP or Ram RajShame on RSS and BJP and YOGISo your people in afganistan pakistan Bangladesh Syria Iraq etc what did with chiristains don't tell half truthChootiyo ki jamaat hamesha roti hIt is a very shameful act this show that a selected group of so called themselves as Hindu supported by brainless and shameless demons who want to destroy the culture of humanity RSS and BJP waqt hai sudar jao warnaSo you leaving this country and scooting to peaceful PakistanFacism has only venom for humanity They seems to rule like a bloody basterds life , it's every human responsibility to save humanity to save the country and its Freedom values",
1,"What kind of logic is this.. they have been there for long.. BJP and it’s followers are creating a gap which will take ages to fill.. this is insaneYe us party ka jhanda hai.. Phle image ki asiliyat jano chakidariniThe Manjeri District Conference in 1920 headed by Annie Besant, made freedom struggles worst decision.. i.e to allow Khilafat to operate under the Freedom struggle banner. And boy did they show what they can do.. 20,000 Hindus were massCong manifesto only meant for Rahul Gandhi.. Not for Nation. 95% Ufecie ct fag Hearn F Veer St ae aredt ize Yer at eta gar B Sra DISH AT VAT er S Ste SAAR & ATH BSAA BI AT STAT 212014 B Geet TA aH feos Ht aH Te St eH ATA aT EI |Bhai U may not have not seen hindu Muslim roits or hatred of Muslims for hindus. Vote karo na karo Jankari rakhoate dich at om afer eg afer ge a aa safety gm aA ea or fora ST TARTNext Kashmir Is Kerala.. See, How They Are Showing Their Power In Congress Election 2019 Rally. Minority People Will Automatically Get Scared And Leave The Place Same Like Kashmiri Pandit's Left Kashmir In 1990's. Only Next Couple Of YezPlease visit kerala U will come to know first hand It's green in color both ways Religion wise and vegetation wiseReally think b4 vote, thanksDivide & Rule is the best suitable policy for both of them.What a paradigm shift in
",
2,"Millions of patriots Go for Vote Vote for ModiNo more doubts. He gives us a warning. He convey his grand Grand Father is a Muslim He conveys he is MuslaimBjp with muslim league. alam alg] Mad agrms owas DBBOY@vaibhav_LFCpappu LKB HAI...Lies lies lies.. It's not Pakistan flag but Mulsim flag..Is Pappu running for a post in India or Pakistan? | think the tolerant policies of India have lead to this Desh drohi culture, they eat, sit and drink in India, but their loyalty lies with Pakistan! | wish the Indian voting majority wakes up and sees °| feel it’s time for indians to realize the fact of pappu",
3,They are parasites by nature. Always like to live on others property and money.U people r fascist we r taking back what belonged to us cry as much u want.You are right Let the so called fake Muslim come to defendOh.. PFI.. btw how many of your members have been arrested so far for inciting riots/killing/ISIS/terrorist activities? But looks like you will never learn.ls Gyanvapi masjid a sacred site in Islam? What is the history of that masjid?Muslim invaders have demolished atleast 40000 temples and built mosques on them. We are demanding only three temples including the Ram Mandir. Show some magnamity. Thoda to DIL bada kariye.Why only 3 we need all temples to be restoredTomorrow if Hindus go and capture Mecca & make Muslims shrine less will that be called our religious right? Taking over on someone else's property is Theft & your Invaders were bunch of Thieves. Correcting historical wrong is not facism u .Hadh hain makkari kiForcefully occupying someone else religious place is not a muslim religious right Mr.. Show me how many places hindus claiming which is in arab.. Not a single place...u knw why.. Don't cry baby... Abhi hum mathura jansthan b lege.. Uske liye.Gyanwapi Masjid? Really?,
4," qa te wg at He 17? Gora 2 f A ist VH Uae Tore UT HI V1 Sifees foe a Aare ter Teywig 3A feara S sraeht aret oor Ht gist GATcReAA & BS SAT eteGadha hai sala isne bhagwa ka chashma laga rakha h.. sala kbhi ektai ki baat kr liya kr.. q dogla giri kr raha h..Sirsarightconifers Bt sect Bey aret frase Ht steel UTfeKA & es et Gear Ut el S2 sireeby feat at sraeit et SAT?Dhyan se dekh bhosdiwale chacha...iuml flag haiPoor general knowledge as most of the BJP leaders have.Kaise tum jaise anpadh log Yaha tak pohoch jaate he... Thodi to akal chalao fear Z WTeT TaT s UfeeTs HT gist Ut el Tear ql sa wlel H ees a 8 orfeeartt Sis12 aa ge feoar star at errae Great Ht ara. BR, Hs Srey Urfepeas wT gist feearsiy ATS.fairer cit alter art aie aro oe BY WRT ve AY GAT Siena HY axe feet arch ara Hat GAT!HoT Br toil F cTSTY UTfeeA & BS! arf wel uTeTATSAT |rei fart ot Ae wr oe Get B dest STAT ae sk Hw sreras we see et BT ARTA shenaT Bh.",
5,"is facing@sendmevidThis guy looks like suffering from tuberculosis, he will be joining Jinnah in hell quite soon.This skink thinks he can provoke true nationalists towards their own motherland, hell no! He considers Khalistan emerging through plebiscites from farmers but lacks to understand the genuine demographics of Punjab as a whole which isNot compromised, minister himself is a dump..Not surprised youtube dares do it with impunity -what with track record of such pathetic & spineless 1&B ministry.Even if they send a link to the minister -at worst they may get a letter for explanation at worst summon for some local headJi do | really want India to break for ur cheap politics? Acknowledged video.",
6,"PFI kedar can also go to the border to fight But RSS people cannot go, they can only oppress people in the country.Send Ur ph noPlease follow meThere was no rss when you were destroying temples, raping women and killing people because they were Kaffir .Uzbek n Turki was banging left and right to make new slaves muzlims ...U know one indian women also killed by Hamas attack | really condemn the children killing in Palastine it's really really sad it should be stop immediately But what about Indian women who killed by hamas
",
7,"Jaan boojh kar afwah mat failao Bhaiaa ct cect ae ga Gara F it ee or afrex HR 370 Gl ye 1g CT aA craRSS ne salo tak indian flag apni party head quarter me lagaya nahi aur dusri smaller party ke flag ko Pakistan ka flag batate hai yeh Farzi rashtravadi.teri awaz tab kaun se theke pe daru pii ke ulti kar rahi thi jabJhooth bolte hue bilkul bhi sharm nahi aati bjp ke logon ko , had haiChor hai tuMr Sasta, Caption please....Te Ae ea oft & cite A AAA ST STAT Se SA PRAT V I 37
",
8,"Before You guess anything. Here it is! att gical ae vt SAR eer we Tortie aot oT gist Bat aMTgR S ater Ht gran ut ce fora we sis wT Heb THT ferat HeMini Pakistan, a Rahul dream project. Abto jaag jao desh premio. Kahi der na ho jaye!BJP not contesting in Wayanad??? They are not worthy to be represented in Parliament? Sicko!People see this. Identify the chor. Their real faces. Vote wisely. Vote for Modi ji. feoat ¥ Step ferear Scrat crea AfTORet ferers cr ar Seo elt? Shar fore aa "" eA ale & eH Ver Hl BA axe sare Bik TTS HAY HY Hferve ze!He is depending on Pakistan for winning in Hinduatan. Imagine if he become PM then he will make Law to Hoist Pakistani flag. His mindset is very much clear &Please digest Rising of Rahul Gandhi.Ha Gar SAM Fe GA! feta ert, FR ey SAMADid anyone notice that there was just 'ONE' tricolour there? Everything else was just green? And now everyone knows whyWayanad is in Kerala. Kerala is in India. South India will reject your propaganda of hate.Can you dissolve your minority wing
",
9,"Fake friendsFakeFake News...Propaganda..Love Kashmir . Love India.GalatWe Kashmiris Stand with Inda.FakeFake. Comment is as rubbish as your thinking. DislikeLove Kashmir love IndiaFakeFakeREAL KASHMIR#####This is real kashmir
",
10,"youtube deserves a ban of 30daysWhy is he saying Punjab te haryana de kisaan. Saale Haryana mein Khalistan maang liya toh jaata ne gaand phaad ke ganna ugaa de na hai wahin.Firstly these khalistani supporters needs to free west Punjab from their friend Niazi of Paxton , to talk about Punjab and Haryana's azadi.Khalistan & Bhim Army are Islamic organizations created by Pakistan as part of their Gazwa-e-Hind project (Bleeding India by Thousand Cuts). These organizations should be as severely dealt with as Urban Naxals, Kashmiri:Yaad kro Guru Tej bahadur singh ji ko. Jaan de di lekin Islamist akrantai kr aage sir nahi jhukaya.This idiot has office in NY..Azaadi mangni hai na, toh pehle Balochistan ki mango... It was absolutely illegally occupied. Ask azaadi for Gilgit Baltistan. They are militarily occupied. BTW, jahan tak history ki baat hai toh socho agarTis wR sat Miferat ART ae AY arfereas Tet fSarsy Gre Grell AT ASR sea!Jokers, no brains, empty headed r called Khali-stanStop halal certification of ALL vegetarian products stop hallal certificate of Non vegetarian products Why is this Sheriya law applied in a Hindu majority Nation Height of Stupidity?If this happens to punbaj we all know what pakis will do to them, how dum can thse guys get.
",
11,#AajTak_acitel_Aral_@r#FarmersProtestGodi mediaIndia da media bicka huga hai Sab ka sab choor hai ji A z rishbat khoor hai jiAaj tk dalal media hai.Baseless/ worthless / shameless hastag etc & No & brilliant information & Thanks for informationSold out media They had all the time to show pizza atwhile leaving the after-effects of torrential rains at protest sites#AajTak_acitel_Aral_@rAlet Sat wl eaTa S sre ! Gil Tet S Cement Tea |! HIS ere 277#AajTak_acitel_Aral_@rBecause thet known we all are motherfuckers#AajTak_actie_Arel_at,
12,"BJP: next election me ticket milegaSuch type of behavior is strictly prohibited except the Chaddi Chores.Now he will get Z security.He is from SHAKHA RSS. RSS=ISIS/LASHKAR Terrorist organisation They follow MANUSMERITY they hate DR. AMBEDKAR .Poora dalit samaj mil ke is brahman ka ek baal baka kar ke batao to jano"" equality wala samaj""Entire saffron clan is filth.
",
13,"Hindus of kerala voted for congress and congress gave first right to minority’s, finally the majority hav become dependent and dumb, if any Hindu now vote for congress, then future is bleak for Hindus , already in north kerala slowly the Hindu.Thats whyPakistan ki najayaz aulad lag rhe hai sabhi. Green lungiWat Wea Ver GT GT BS HR ANT BM.. a AlMt et le B.-A Het Br ale &Spread it to North India and Gujrat To show who is supporting PrinceReminds, somehow, of Somali pirates who have spotted a damaged ship limping into their waters for safety.Modi is the creator of abusing,fascism, hatred,frauds in indian politics.Pappu is really desperate to become the PMwill accept hisWht abt traffic rules... Or wherever R Gandhi goes there is only Jungle ruleThis is wayanad and those are legitimate jihadis. This is nothing else but salafists with immunity and advantage under the illy constitution of India.This is from Kerala, Rahul to contest from Wynad, if Modi is dog to them, Rahul is Alsesian Dog. Kerala became worst after UDF rule.Why all Mallus Religion of Hindus is evil do must naturally be eliminated along with their temples and culture .Don't worry after winning, he won't dare to go to that place again. These are being made fools by him and his party.yahan jhande se problem nahi hui hogi
",
14,"fora ae ST Ver BI siet Hi aorifs Sect ais , aa wie we AH ehioa @ ora FI ree oh Ht crea S A GE sit TAmire oRar bt pert arfereart ve srccbt SH SIGIT bth@INCIndiaS2l ST MA SST GVA SH TE a get Te sie ORT are GRA SsCorrect3 oa wT é Feet fesd = ate ver a fe 15 fae A a BT og Se RR 15 fae & fee a aa MeN at Ba Be TTS } UM GAT geetdaa at RMN Ht eras Fara 8 GTJute Maro salon meinmodiji en sabka elaj.ek patti me kar denge.wait and watchaida oh mer sik get oteAmbani ko hi saup do isme Harz kya h????oft ot & per 8 oer ut orf vel ela! St era ANA at vee gel Tet SA Aer Vt
",
15,"Is this india or pakHey doode! TN is 85% Hindus! Ask your buddu to contest from TN‘gd Gell aTFor a moment, | thought Rahul Gandhi is nominating from Rawal pindi. Great, everything is going on as per the Manifesto !Amit tumlog Hindu Muslim karke aur logo ko beakuef nahi bana sakte, Rammandir kab banayo ge, mandir ke nam par vote kyu mangte ho, kitna mandir banwaya tumne, pehle khud sudhar jauIs amit shah, advani, namo dare to nominate here in south india!!? Sub se dar ye kia?Lag gayi na! Cowkidaar tho gaya is baar!
",
16,"DidBas Copy & Paste...Jinnah also laughing on Indian prime minister who is go to Pakistan for biryani now see who is fevering PakistanYou're North Indian & that too a BJP member so your ignorance regarding the rest of the country is not surprising. This is the flag of the IUML which part of the INC-led UDF alliance in Kerala.Only one indian flag waving in thousand of those flags.......Correction* is this really Indian flag or congress flag ....... It doesn't look like Indian flagHindustan ko hindustan rakhna hai to b.j.p.ko vat karo.....aa gaya copy paste BJP IT cell ka Viral tweet to spread hatred and divide people in Hindu-Muslim. 5 saal me achhe din to laa nahi sake iss liye kamal vale ab kichad uchalenge. This is the flag of the IUML which part of the INC-led UDF «54,000 people about to go jobless in BSNL Just waiting till elections.. But don’t share this, please continue with your Hindu-Muslim-Pakistan nonsense to get distractedNo. No. Jinah should be happy today. Because Rahul Gandhi is carrying his mission forward in India.",
17,"why votes polled and counted didnot match ??Which seat is that?From the quoted article: gemerare <b} Sia feet HUT & Ve gee WW ...& ECI says all well.is absolutely right in saying that booth capturing was retail level rigging and EVMs are wholesale rigging., this is a totally baseless and fake news.",
18,"madam ur really a lady tiger...... Jai Kavitakka.... Jai kalvakuntla vidya sagar.... jai Ch anandh Goud..Jai kavitha akkaWY Fos Heparen HS ges\O Sodsah, Oded evtoyb DBD HBS kv Na HSBodsHow AvavaArden -€3.e96.0HH M6 65 HOSES AYSA) Feo MGeo HI aayseprr SO Docs yaspBev?? woe MLA DoXesoads BLYJCEI QDYOH???( 08 ages» TRS,BIP Srabavraren BaHycooe Soc Sod eveK& )jai Telangana Jai Kavitha akkaJai KavithakkaDearMadam RaikalMdl lo Pedda Vil Aina Allipur Gramaniki Mdl Cheyumani Korutu Gatha5Oyrs kala ma vurilo janaba 10000 Paine Gatha 70 elluga 10school,Post office,paccs,ups ,AyurvedaHosp, VetarnityHosp,Modatlo RaikalMdl GramanikiGreat Madam Jai ker sirJai KCR Jai Telangana| m not gona vote for u dis time mam i was very much dissappointed by u way of dealing may promises that u have promised r remaianse as promissed...last time i ve voted for u but now m not give u my vote...a dissappointed nizamabadi....BOS SHes5
",
19,"This man has got verbal dihorrea. He needs medication.As a protest again this comments you should leave India and settle in PakistanWhere's the abuse? | only hear factsDam h to Dr Zakir Naik k sath debate krke dikha haar na maan li tmlogo ne to kahnaWhy are you forwarding this? Aren’t you indirectly promoting it ? SenselessYou like with toiletwe need to ask these babas and pandits to stand for us hindus nowTell me who's Ram Idiot..Is mardood pe karod karod laanat hai Allah is gustaakh pe sakht se sakht azaab naazil farmaye.. AameenAjow Zakir Naik sa debate karoBhai inlog k dimag me to gobar bhara hua hai shaq nahi. Asal me ye log hatash pareshan hain k hum ye log etna mahnat kar rahe Islam ko defame karn...
","
"
20,"Modi ke ghar.... Aa jao le lo...watt po waeRT ot anit a sx om va, HS wtManipulate hone jaa rahi hai ya hoke jaa rahi haiExchenge offer chal raha hai kya juna do naya loEC SHOULD TAKE THIS SERIOUSLY. INSTEAD GIVING CLEAN CHITS TO BJP.Hahahahaha... Har ka dar abhi se..Darna jaroori h kyunki.. 31271 at Atal &1ferrcht adh saebT at ae ftad evm bu cu and wypat €,sit Hella Gera St We aaa HEI & fey Tal iret &... Hw at er Hr oarharewe... ang 3 at evm é at wera gg 3k Sa OTT GAT evm Rata w go al Sore erstPeecha karna chahiye tha. Chup chap.kindly look into it",
21,"ae 2 ar ar uel? Ta Tra Gera at eT Ad a |Right Bhai shabGaddar ho tum jaise log, jo apne fayde ke liye desh ko badte ho. Bharat aur Dehli ki janta tum jaise gaddaron ko sabak sikhayenge.ISIS & ga facet Hise BT RTT a USAT‘Old at Sel @, WR sa feanfes gate fen drei S wank fear sigRight sirDesh ke gaddaro ko goli maro salo koele unde Sere & fare Car Ter SAT AR Ara HT TATA @, Tera site vt Farsi 4a sew se ea aTSy sees Ura Glas ST Varo HA AY arpa @, Tafa.Hafiz saeed k vicharo k tum jese gaddar log ho ,jo nara tu bata rha h wo is desh ki janta tumjese chamcho pe bohot jald istemaal karegi
",
22,Sad way to put it my friend. Sikhs learnt in 84 how brutal and kniving the Indian majority are. Mistakes in 1947 happened that cannot...Good keep it up . pakistan always with u.No one can stop making KhalistanGreat Shot Sardar Ji...welldone..keep it up...| wish you had continued with your movement after attack on Amritsaryes rise the Khalistan Flag now speed up for creation of Kahlistan A Country for our Sikh Brothers Long live Khalistan.This is bad. No one has right to burn flags for any country. Raising your flag does not need to burn other countries flag. What are the...Kashmir khalistan do juda mulk ban jayengy ind mein serf Hindu rahengy kionky Hindu Majority mein zyada hai aur tumlogo aur musa...Khalistan zinda bad| dont see any comments from Sikh brothers...Teri maa ka bhosdha madarchodNo 1 in world no toilets in India No 1 in world poor people in India No 1 in world rape rankings india No 1 in world stupid country indi...This account is surely handled by a Porki disguised as a Sikh,
23,a afea org Ht tara f Ho ret ANY Sa SA Rafat wt ait Shere ferrisa &aide ht terger¢ a aaBee HLA TH Se Tel S1 TA &H ele IInhe famous hona h.. To kar do... Taki police tak pohoch jayeWe get this....and Muslims get two Nations after the fight for independence! Legacy of Gandhis...enjoy....IF POLITICALLY HINDUS ARE WEAK THEN TH... BC SIR Qtebet at feaTHT sik TAHT GER Heat feet & YIRI Servet! feb siterre TT | GER ater F sty sitepra B xe ott fora fest SH GAM at Ser GH Ye er sea UT et Bistfier wed 8 Tet & clas & Hraferey Vt eet SBhai ye hamari kamjori hai aur kuch nahi Ram naam se kuch nahi hoga parshuram banoeer TER Aaa S sik ear gran dfaar aWe all Hindus and real Hindustani are in dangerYe bsdk paida krke chod diya inko... Halala ki paidaish he kutte aur karenge bhi kya ye bhdwe.. Ualt Repd RANT HT STN Slat GT VET ARG PI VAR eg SRY Gott at aAPSY SAT AT,
